,Details
2751,"Mieszkanie, Poznań, Rataje, 37 m²Stan: Innyzakończona29 September 2024 o godzinie 15:19:0869 000,00złZobacz aktualne oferty"
2752,"Mieszkanie, Poznań, Nowe Miasto, 46 m²Stan: Innyzakończona29 September 2024 o godzinie 13:45:00600 000,00złZobacz aktualne oferty"
2753,"Mieszkanie, Poznań, Naramowice, 46 m²Stan: Innyzakończona29 September 2024 o godzinie 13:44:59539 000,00złZobacz aktualne oferty"
2754,"Mieszkanie, Poznań, Winogrady, 46 m²Stan: Innyzakończona29 September 2024 o godzinie 12:35:10440 000,00złZobacz aktualne oferty"
2755,"Mieszkanie, Poznań, Piątkowo, 74 m²Stan: Innyzakończona29 September 2024 o godzinie 10:56:15659 000,00złZobacz aktualne oferty"
2756,"Mieszkanie, Poznań, Główna, 25 m²Stan: Innyzakończona29 September 2024 o godzinie 10:18:26275 340,00złZobacz aktualne oferty"
2757,"Mieszkanie, Poznań, Piątkowo, 54 m²Stan: Innyzakończona28 September 2024 o godzinie 21:17:472100,00złZobacz aktualne oferty"
2758,"Mieszkanie, Poznań, Jeżyce, 40 m²Stan: Innyzakończona28 September 2024 o godzinie 19:59:01649 000,00złZobacz aktualne oferty"
2759,"Mieszkanie, Poznań, Jeżyce, 48 m²Stan: Innyzakończona28 September 2024 o godzinie 16:12:53632 178,00złZobacz aktualne oferty"
2760,"Mieszkanie, Poznań, Jeżyce, 39 m²Stan: Innyzakończona28 September 2024 o godzinie 16:12:53538 396,00złZobacz aktualne oferty"
2761,"Mieszkanie, Poznań, Jeżyce, 49 m²Stan: Innyzakończona28 September 2024 o godzinie 16:12:53581 908,00złZobacz aktualne oferty"
2762,"Mieszkanie, Poznań, Jeżyce, 62 m²Stan: Innyzakończona28 September 2024 o godzinie 16:12:53702 145,00złZobacz aktualne oferty"
2763,"Mieszkanie, Poznań, Jeżyce, 61 m²Stan: Innyzakończona28 September 2024 o godzinie 16:12:52702 937,00złZobacz aktualne oferty"
2764,"Mieszkanie, Poznań, Jeżyce, 49 m²Stan: Innyzakończona28 September 2024 o godzinie 16:12:52621 522,00złZobacz aktualne oferty"
2765,"Mieszkanie, Poznań, Jeżyce, 61 m²Stan: Innyzakończona28 September 2024 o godzinie 16:12:52712 121,00złZobacz aktualne oferty"
2766,"Mieszkanie, Poznań, Jeżyce, 41 m²Stan: Innyzakończona28 September 2024 o godzinie 16:12:52481 264,00złZobacz aktualne oferty"
2767,"Mieszkanie, Poznań, Stare Miasto, 101 m²Stan: Innyzakończona28 September 2024 o godzinie 14:52:371 099 000,00złZobacz aktualne oferty"
2768,"Mieszkanie, Poznań, Piątkowo, 29 m²Stan: Innyzakończona28 September 2024 o godzinie 13:51:381800,00złZobacz aktualne oferty"
2769,"Mieszkanie, Poznań, 59 m²Stan: Innyzakończona28 September 2024 o godzinie 12:07:374000,00złZobacz aktualne oferty"
2770,"Komercyjne, Poznań, Grunwald, 55 m²Stan: Innyzakończona28 September 2024 o godzinie 08:53:353270,00złZobacz aktualne oferty"
2771,"Mieszkanie, Poznań, Wilda, 28 m²Stan: Innyzakończona28 September 2024 o godzinie 08:53:29414 000,00złZobacz aktualne oferty"
2772,"Mieszkanie, Poznań, Wilda, 28 m²Stan: Innyzakończona28 September 2024 o godzinie 08:53:29415 000,00złZobacz aktualne oferty"
2773,"Mieszkanie, Poznań, Łazarz, 94 m²Stan: Innyzakończona28 September 2024 o godzinie 06:36:05860 000,00złZobacz aktualne oferty"
2774,"Mieszkanie, Poznań, Podolany, 33 m²Stan: Innyzakończona28 September 2024 o godzinie 06:29:35399 000,00złZobacz aktualne oferty"
2775,"Mieszkanie, Poznań, 44 m²Stan: Innyzakończona28 September 2024 o godzinie 06:28:08679 000,00złZobacz aktualne oferty"
2776,"Mieszkanie, Poznań, 34 m²Stan: Innyzakończona28 September 2024 o godzinie 00:43:20557 604,00złZobacz aktualne oferty"
2777,"Dom, Poznań, 275 m²Stan: Innyzakończona27 September 2024 o godzinie 23:38:391 750 000,00złZobacz aktualne oferty"
2778,"Mieszkanie, Poznań, Piątkowo, 51 m²Stan: Innyzakończona27 September 2024 o godzinie 21:33:522300,00złZobacz aktualne oferty"
2779,"Mieszkanie, Poznań, Jeżyce, 62 m²Stan: Innyzakończona27 September 2024 o godzinie 20:04:23855 000,00złZobacz aktualne oferty"
2780,"Mieszkanie, Poznań, Stare Miasto, 73 m²Stan: Innyzakończona27 September 2024 o godzinie 19:19:12777 000,00złZobacz aktualne oferty"
2781,"Mieszkanie, Poznań, Stare Miasto, 73 m²Stan: Innyzakończona27 September 2024 o godzinie 19:03:363300,00złZobacz aktualne oferty"
2782,"Mieszkanie, Poznań, Umultowo, 53 m²Stan: Innyzakończona27 September 2024 o godzinie 16:07:07660 000,00złZobacz aktualne oferty"
2783,"Mieszkanie, Poznań, Rataje, 42 m²Stan: Innyzakończona27 September 2024 o godzinie 15:15:172800,00złZobacz aktualne oferty"
2784,"Dom, Poznań, Jeżyce, 123 m²Stan: Innyzakończona27 September 2024 o godzinie 14:59:07999 000,00złZobacz aktualne oferty"
2785,"Mieszkanie, Poznań, Jeżyce, 54 m²Stan: Innyzakończona27 September 2024 o godzinie 14:41:47790 000,00złZobacz aktualne oferty"
2786,"Pokój, Poznań, Nowe Miasto, 12 m²Stan: Innyzakończona27 September 2024 o godzinie 12:14:441500,00złZobacz aktualne oferty"
2787,"Mieszkanie, Poznań, Stare Miasto, 22 m²Stan: Innyzakończona27 September 2024 o godzinie 11:47:41379 310,00złZobacz aktualne oferty"
2788,"Mieszkanie, Poznań, Stare Miasto, 22 m²Stan: Innyzakończona27 September 2024 o godzinie 11:47:41372 800,00złZobacz aktualne oferty"
2789,"Mieszkanie, Poznań, Stare Miasto, 22 m²Stan: Innyzakończona27 September 2024 o godzinie 11:47:41374 200,00złZobacz aktualne oferty"
2790,"Mieszkanie, Poznań, Stare Miasto, 22 m²Stan: Innyzakończona27 September 2024 o godzinie 11:47:41340 250,00złZobacz aktualne oferty"
2791,"Mieszkanie, Poznań, Stare Miasto, 21 m²Stan: Innyzakończona27 September 2024 o godzinie 11:47:40368 600,00złZobacz aktualne oferty"
2792,"Mieszkanie, Poznań, Stare Miasto, 21 m²Stan: Innyzakończona27 September 2024 o godzinie 11:47:40349 982,00złZobacz aktualne oferty"
2793,"Mieszkanie, Poznań, Stare Miasto, 22 m²Stan: Innyzakończona27 September 2024 o godzinie 11:47:40394 500,00złZobacz aktualne oferty"
2794,"Mieszkanie, Poznań, Stare Miasto, 32 m²Stan: Innyzakończona27 September 2024 o godzinie 11:47:40504 380,00złZobacz aktualne oferty"
2795,"Mieszkanie, Poznań, Stare Miasto, 22 m²Stan: Innyzakończona27 September 2024 o godzinie 11:47:40365 000,00złZobacz aktualne oferty"
2796,"Mieszkanie, Poznań, 27 m²Stan: Innyzakończona27 September 2024 o godzinie 11:11:57310 000,00złZobacz aktualne oferty"
2797,"Dom, Poznań, Strzeszyn, 270 m²Stan: Innyzakończona27 September 2024 o godzinie 10:55:591 035 000,00złZobacz aktualne oferty"
2798,"Mieszkanie, Poznań, Łazarz, 79 m²Stan: Innyzakończona27 September 2024 o godzinie 10:38:46979 000,00złZobacz aktualne oferty"
2799,"Mieszkanie, Poznań, Grunwald, 22 m²Stan: Innyzakończona27 September 2024 o godzinie 10:07:091600,00złZobacz aktualne oferty"
2800,"Mieszkanie, Poznań, Stare Miasto, 59 m²Stan: Innyzakończona27 September 2024 o godzinie 09:56:24549 630,00złZobacz aktualne oferty"
2801,"Garaż, Poznań, Grunwald, 16 m²Stan: Innyzakończona27 September 2024 o godzinie 02:29:2065 000,00złZobacz aktualne oferty"
2802,"Mieszkanie, Poznań, Dębiec, 26 m²Stan: Innyzakończona27 September 2024 o godzinie 02:29:14256 000,00złZobacz aktualne oferty"
2803,"Dom, Poznań, Ławica, 816 m²Stan: Innyzakończona27 September 2024 o godzinie 02:11:524 800 000,00złZobacz aktualne oferty"
2804,"Mieszkanie, Poznań, Rataje, 44 m²Stan: Innyzakończona27 September 2024 o godzinie 01:05:59560 000,00złZobacz aktualne oferty"
2805,"Mieszkanie, Poznań, Łazarz, 23 m²Stan: Innyzakończona26 September 2024 o godzinie 22:36:32289 000,00złZobacz aktualne oferty"
2806,"Mieszkanie, Poznań, Stare Miasto, 29 m²Stan: Innyzakończona26 September 2024 o godzinie 22:36:29439 000,00złZobacz aktualne oferty"
2807,"Mieszkanie, Poznań, Wilda, 102 m²Stan: Innyzakończona26 September 2024 o godzinie 21:06:46769 000,00złZobacz aktualne oferty"
2808,"Mieszkanie, Poznań, Wilda, 38 m²Stan: Innyzakończona26 September 2024 o godzinie 21:06:46418 000,00złZobacz aktualne oferty"
2809,"Mieszkanie, Poznań, Wilda, 54 m²Stan: Innyzakończona26 September 2024 o godzinie 21:06:46490 000,00złZobacz aktualne oferty"
2810,"Mieszkanie, Poznań, Centrum, 80 m²Stan: Innyzakończona26 September 2024 o godzinie 21:06:433300,00złZobacz aktualne oferty"
2811,"Mieszkanie, Poznań, Łazarz, 63 m²Stan: Innyzakończona26 September 2024 o godzinie 20:33:41785 292,00złZobacz aktualne oferty"
2812,"Mieszkanie, Poznań, Łazarz, 90 m²Stan: Innyzakończona26 September 2024 o godzinie 20:33:41786 768,00złZobacz aktualne oferty"
2813,"Mieszkanie, Poznań, Wilda, 351 m²Stan: Innyzakończona26 September 2024 o godzinie 20:02:241 200 000,00złZobacz aktualne oferty"
2814,"Mieszkanie, Poznań, Głuszyna, 86 m²Stan: Innyzakończona26 September 2024 o godzinie 19:14:55530 000,00złZobacz aktualne oferty"
2815,"Mieszkanie, Poznań, Grunwald, 96 m²Stan: Innyzakończona26 September 2024 o godzinie 19:14:552700,00złZobacz aktualne oferty"
2816,"Mieszkanie, Poznań, 20 m²Stan: Innyzakończona26 September 2024 o godzinie 19:14:55255 000,00złZobacz aktualne oferty"
2817,"Mieszkanie, Poznań, Wilda, 35 m²Stan: Innyzakończona26 September 2024 o godzinie 19:14:55289 000,00złZobacz aktualne oferty"
2818,"Mieszkanie, Poznań, Grunwald, 69 m²Stan: Innyzakończona26 September 2024 o godzinie 19:14:543250,00złZobacz aktualne oferty"
2819,"Mieszkanie, Poznań, 80 m²Stan: Innyzakończona26 September 2024 o godzinie 19:03:02797 000,00złZobacz aktualne oferty"
2820,"Dom, Poznań, 122 m²Stan: Innyzakończona26 September 2024 o godzinie 17:33:207500,00złZobacz aktualne oferty"
2821,"Mieszkanie, Poznań, Jeżyce, 93 m²Stan: Innyzakończona26 September 2024 o godzinie 16:33:44690 000,00złZobacz aktualne oferty"
2822,"Mieszkanie, Poznań, Jeżyce, 70 m²Stan: Innyzakończona26 September 2024 o godzinie 16:33:43680 000,00złZobacz aktualne oferty"
2823,"Działka, Poznań, 1468 m²Stan: Innyzakończona26 September 2024 o godzinie 16:16:59499 000,00złZobacz aktualne oferty"
2824,"Mieszkanie, Poznań, Rataje, 62 m²Stan: Innyzakończona26 September 2024 o godzinie 15:49:58589 000,00złZobacz aktualne oferty"
2825,"Dom, Poznań, 212 m²Stan: Innyzakończona26 September 2024 o godzinie 15:06:58839 000,00złZobacz aktualne oferty"
2826,"Mieszkanie, Poznań, Rataje, 48 m²Stan: Innyzakończona26 September 2024 o godzinie 14:53:53550 000,00złZobacz aktualne oferty"
2827,"Magazyny i hale, Poznań, 5000 m²Stan: Innyzakończona26 September 2024 o godzinie 13:52:4090 000,00złZobacz aktualne oferty"
2828,"Mieszkanie, Poznań, Łazarz, 43 m²Stan: Innyzakończona26 September 2024 o godzinie 13:52:29429 000,00złZobacz aktualne oferty"
2829,"Mieszkanie, Poznań, Winogrady, 48 m²Stan: Innyzakończona26 September 2024 o godzinie 13:35:13535 000,00złZobacz aktualne oferty"
2830,"Dom, Poznań, Jeżyce, 350 m²Stan: Innyzakończona26 September 2024 o godzinie 13:35:111 599 900,00złZobacz aktualne oferty"
2831,"Mieszkanie, Poznań, Jeżyce, 81 m²Stan: Innyzakończona26 September 2024 o godzinie 13:35:061 597 000,00złZobacz aktualne oferty"
2832,"Mieszkanie, Poznań, Jeżyce, 49 m²Stan: Innyzakończona26 September 2024 o godzinie 13:34:51789 000,00złZobacz aktualne oferty"
2833,"Mieszkanie, Poznań, Łazarz, 42 m²Stan: Innyzakończona26 September 2024 o godzinie 13:34:51629 000,00złZobacz aktualne oferty"
2834,"Mieszkanie, Poznań, Wilda, 37 m²Stan: Innyzakończona26 September 2024 o godzinie 13:34:50560 000,00złZobacz aktualne oferty"
2835,"Mieszkanie, Poznań, 47 m²Stan: Innyzakończona26 September 2024 o godzinie 13:32:493500,00złZobacz aktualne oferty"
2836,"Dom, Poznań, Junikowo, 309 m²Stan: Innyzakończona26 September 2024 o godzinie 13:32:401 450 000,00złZobacz aktualne oferty"
2837,"Mieszkanie, Poznań, 64 m²Stan: Innyzakończona26 September 2024 o godzinie 12:34:05652 000,00złZobacz aktualne oferty"
2838,"Mieszkanie, Poznań, Grunwald, 55 m²Stan: Innyzakończona26 September 2024 o godzinie 12:17:113200,00złZobacz aktualne oferty"
2839,"Magazyny i hale, Poznań, 8181 m²Stan: Innyzakończona26 September 2024 o godzinie 10:19:13147 062,00złZobacz aktualne oferty"
2840,"Mieszkanie, Poznań, Wilda, 90 m²Stan: Innyzakończona26 September 2024 o godzinie 07:25:49869 000,00złZobacz aktualne oferty"
2841,"Mieszkanie, Poznań, 44 m²Stan: Innyzakończona26 September 2024 o godzinie 00:39:01347 000,00złZobacz aktualne oferty"
2842,"Mieszkanie, Poznań, Piątkowo, 34 m²Stan: Innyzakończona26 September 2024 o godzinie 00:39:002300,00złZobacz aktualne oferty"
2843,"Dom, Poznań, Jeżyce, 655 m²Stan: Innyzakończona26 September 2024 o godzinie 00:29:363 477 000,00złZobacz aktualne oferty"
2844,"Mieszkanie, Poznań, Jeżyce, 27 m²Stan: Innyzakończona25 September 2024 o godzinie 21:34:24499 000,00złZobacz aktualne oferty"
2845,"Mieszkanie, Poznań, Stare Miasto, 63 m²Stan: Innyzakończona25 September 2024 o godzinie 19:28:20997 998,00złZobacz aktualne oferty"
2846,"Mieszkanie, Poznań, Centrum, 26 m²Stan: Innyzakończona25 September 2024 o godzinie 18:36:162500,00złZobacz aktualne oferty"
2847,"Mieszkanie, Poznań, Wilda, 69 m²Stan: Innyzakończona25 September 2024 o godzinie 18:33:41705 962,00złZobacz aktualne oferty"
2848,"Mieszkanie, Poznań, Grunwald, 28 m²Stan: Innyzakończona25 September 2024 o godzinie 18:30:34290 000,00złZobacz aktualne oferty"
2849,"Dom, Poznań, 394 m²Stan: Innyzakończona25 September 2024 o godzinie 17:07:022 700 000,00złZobacz aktualne oferty"
2850,"Mieszkanie, Poznań, Naramowice, 61 m²Stan: Innyzakończona25 September 2024 o godzinie 16:42:12633 442,00złZobacz aktualne oferty"
2851,"Dom, Poznań, Wilda, 170 m²Stan: Innyzakończona25 September 2024 o godzinie 16:29:12749 000,00złZobacz aktualne oferty"
2852,"Mieszkanie, Poznań, Dębiec, 170 m²Stan: Innyzakończona25 September 2024 o godzinie 16:29:11749 000,00złZobacz aktualne oferty"
2853,"Mieszkanie, Poznań, Wilda, 170 m²Stan: Innyzakończona25 September 2024 o godzinie 16:29:11749 000,00złZobacz aktualne oferty"
2854,"Mieszkanie, Poznań, Łazarz, 49 m²Stan: Innyzakończona25 September 2024 o godzinie 16:29:07599 000,00złZobacz aktualne oferty"
2855,"Mieszkanie, Poznań, 39 m²Stan: Innyzakończona25 September 2024 o godzinie 16:28:57534 900,00złZobacz aktualne oferty"
2856,"Mieszkanie, Poznań, Grunwald, 34 m²Stan: Innyzakończona25 September 2024 o godzinie 16:13:232600,00złZobacz aktualne oferty"
2857,"Pokój, Poznań, Wilda, 12 m²Stan: Innyzakończona25 September 2024 o godzinie 15:42:39590,00złZobacz aktualne oferty"
2858,"Mieszkanie, Poznań, Rataje, 53 m²Stan: Innyzakończona25 September 2024 o godzinie 15:42:38549 000,00złZobacz aktualne oferty"
2859,"Mieszkanie, Poznań, Grunwald, 66 m²Stan: Innyzakończona25 September 2024 o godzinie 15:42:324500,00złZobacz aktualne oferty"
2860,"Mieszkanie, Poznań, Naramowice, 61 m²Stan: Innyzakończona25 September 2024 o godzinie 14:59:44615 000,00złZobacz aktualne oferty"
2861,"Pokój, Poznań, 6 m²Stan: Innyzakończona25 September 2024 o godzinie 14:48:29550,00złZobacz aktualne oferty"
2862,"Mieszkanie, Poznań, Piątkowo, 74 m²Stan: Innyzakończona25 September 2024 o godzinie 14:48:25680 000,00złZobacz aktualne oferty"
2863,"Mieszkanie, Poznań, Rataje, 52 m²Stan: Innyzakończona25 September 2024 o godzinie 14:48:10744 000,00złZobacz aktualne oferty"
2864,"Dom, Poznań, Naramowice, 163 m²Stan: Innyzakończona25 September 2024 o godzinie 14:32:341 598 000,00złZobacz aktualne oferty"
2865,"Mieszkanie, Poznań, Jeżyce, 62 m²Stan: Innyzakończona25 September 2024 o godzinie 13:58:431 000 000,00złZobacz aktualne oferty"
2866,"Mieszkanie, Poznań, Jeżyce, 94 m²Stan: Innyzakończona25 September 2024 o godzinie 13:27:594500,00złZobacz aktualne oferty"
2867,"Mieszkanie, Poznań, Górczyn, 55 m²Stan: Innyzakończona25 September 2024 o godzinie 13:27:562500,00złZobacz aktualne oferty"
2868,"Mieszkanie, Poznań, Piątkowo, 47 m²Stan: Innyzakończona25 September 2024 o godzinie 12:42:44489 000,00złZobacz aktualne oferty"
2869,"Mieszkanie, Poznań, 91 m²Stan: Innyzakończona25 September 2024 o godzinie 12:42:341 219 000,00złZobacz aktualne oferty"
2870,"Mieszkanie, Poznań, Morasko-Radojewo, 47 m²Stan: Innyzakończona25 September 2024 o godzinie 12:42:33630 000,00złZobacz aktualne oferty"
2871,"Mieszkanie, Poznań, Wilda, 38 m²Stan: Innyzakończona25 September 2024 o godzinie 12:42:26558 360,00złZobacz aktualne oferty"
2872,"Mieszkanie, Poznań, Junikowo, 77 m²Stan: Innyzakończona25 September 2024 o godzinie 12:15:47784 750,00złZobacz aktualne oferty"
2873,"Mieszkanie, Poznań, Junikowo, 77 m²Stan: Innyzakończona25 September 2024 o godzinie 12:15:45799 373,00złZobacz aktualne oferty"
2874,"Mieszkanie, Poznań, Junikowo, 77 m²Stan: Innyzakończona25 September 2024 o godzinie 12:14:45816 026,00złZobacz aktualne oferty"
2875,"Mieszkanie, Poznań, Junikowo, 77 m²Stan: Innyzakończona25 September 2024 o godzinie 12:14:36860 998,00złZobacz aktualne oferty"
2876,"Mieszkanie, Poznań, Junikowo, 63 m²Stan: Innyzakończona25 September 2024 o godzinie 12:14:06708 739,00złZobacz aktualne oferty"
2877,"Mieszkanie, Poznań, Junikowo, 77 m²Stan: Innyzakończona25 September 2024 o godzinie 12:14:03782 719,00złZobacz aktualne oferty"
2878,"Mieszkanie, Poznań, Junikowo, 77 m²Stan: Innyzakończona25 September 2024 o godzinie 12:14:01795 226,00złZobacz aktualne oferty"
2879,"Mieszkanie, Poznań, Junikowo, 72 m²Stan: Innyzakończona25 September 2024 o godzinie 12:13:37775 440,00złZobacz aktualne oferty"
2880,"Mieszkanie, Poznań, Junikowo, 78 m²Stan: Innyzakończona25 September 2024 o godzinie 12:13:27807 667,00złZobacz aktualne oferty"
2881,"Mieszkanie, Poznań, Junikowo, 57 m²Stan: Innyzakończona25 September 2024 o godzinie 12:13:03679 536,00złZobacz aktualne oferty"
2882,"Mieszkanie, Poznań, Junikowo, 70 m²Stan: Innyzakończona25 September 2024 o godzinie 12:12:58760 288,00złZobacz aktualne oferty"
2883,"Mieszkanie, Poznań, Junikowo, 70 m²Stan: Innyzakończona25 September 2024 o godzinie 12:12:56733 320,00złZobacz aktualne oferty"
2884,"Mieszkanie, Poznań, Łazarz, 78 m²Stan: Innyzakończona25 September 2024 o godzinie 12:12:31695 000,00złZobacz aktualne oferty"
2885,"Mieszkanie, Poznań, Junikowo, 57 m²Stan: Innyzakończona25 September 2024 o godzinie 12:12:30661 003,00złZobacz aktualne oferty"
2886,"Mieszkanie, Poznań, Junikowo, 63 m²Stan: Innyzakończona25 September 2024 o godzinie 12:12:30688 295,00złZobacz aktualne oferty"
2887,"Mieszkanie, Poznań, Junikowo, 45 m²Stan: Innyzakończona25 September 2024 o godzinie 12:12:18527 213,00złZobacz aktualne oferty"
2888,"Mieszkanie, Poznań, Junikowo, 52 m²Stan: Innyzakończona25 September 2024 o godzinie 12:11:48587 434,00złZobacz aktualne oferty"
2889,"Mieszkanie, Poznań, Junikowo, 78 m²Stan: Innyzakończona25 September 2024 o godzinie 12:11:46863 222,00złZobacz aktualne oferty"
2890,"Mieszkanie, Poznań, Junikowo, 59 m²Stan: Innyzakończona25 September 2024 o godzinie 12:11:42698 080,00złZobacz aktualne oferty"
2891,"Mieszkanie, Poznań, Junikowo, 59 m²Stan: Innyzakończona25 September 2024 o godzinie 12:11:36692 194,00złZobacz aktualne oferty"
2892,"Mieszkanie, Poznań, Junikowo, 57 m²Stan: Innyzakończona25 September 2024 o godzinie 12:11:09710 424,00złZobacz aktualne oferty"
2893,"Mieszkanie, Poznań, Junikowo, 63 m²Stan: Innyzakończona25 September 2024 o godzinie 12:11:01749 628,00złZobacz aktualne oferty"
2894,"Mieszkanie, Poznań, Junikowo, 79 m²Stan: Innyzakończona25 September 2024 o godzinie 12:09:53912 924,00złZobacz aktualne oferty"
2895,"Mieszkanie, Poznań, Junikowo, 79 m²Stan: Innyzakończona25 September 2024 o godzinie 12:09:50909 457,00złZobacz aktualne oferty"
2896,"Mieszkanie, Poznań, Junikowo, 57 m²Stan: Innyzakończona25 September 2024 o godzinie 12:09:25698 069,00złZobacz aktualne oferty"
2897,"Mieszkanie, Poznań, Junikowo, 63 m²Stan: Innyzakończona25 September 2024 o godzinie 12:09:11735 998,00złZobacz aktualne oferty"
2898,"Mieszkanie, Poznań, Junikowo, 62 m²Stan: Innyzakończona25 September 2024 o godzinie 12:09:08666 360,00złZobacz aktualne oferty"
2899,"Mieszkanie, Poznań, Junikowo, 45 m²Stan: Innyzakończona25 September 2024 o godzinie 12:09:08522 331,00złZobacz aktualne oferty"
2900,"Mieszkanie, Poznań, Junikowo, 72 m²Stan: Innyzakończona25 September 2024 o godzinie 12:08:24821 016,00złZobacz aktualne oferty"
2901,"Mieszkanie, Poznań, Junikowo, 77 m²Stan: Innyzakończona25 September 2024 o godzinie 12:07:53832 680,00złZobacz aktualne oferty"
2902,"Mieszkanie, Poznań, Junikowo, 77 m²Stan: Innyzakończona25 September 2024 o godzinie 12:07:40877 716,00złZobacz aktualne oferty"
2903,"Mieszkanie, Poznań, Stare Miasto, 63 m²Stan: Innyzakończona25 September 2024 o godzinie 11:49:55542 000,00złZobacz aktualne oferty"
2904,"Mieszkanie, Poznań, Rataje, 57 m²Stan: Innyzakończona25 September 2024 o godzinie 11:49:552700,00złZobacz aktualne oferty"
2905,"Mieszkanie, Poznań, Łazarz, 33 m²Stan: Innyzakończona25 September 2024 o godzinie 11:49:552400,00złZobacz aktualne oferty"
2906,"Mieszkanie, Poznań, Centrum, 60 m²Stan: Innyzakończona25 September 2024 o godzinie 11:49:53680 000,00złZobacz aktualne oferty"
2907,"Mieszkanie, Poznań, Junikowo, 62 m²Stan: Innyzakończona25 September 2024 o godzinie 11:11:45693 014,00złZobacz aktualne oferty"
2908,"Mieszkanie, Poznań, Junikowo, 62 m²Stan: Innyzakończona25 September 2024 o godzinie 11:11:45679 687,00złZobacz aktualne oferty"
2909,"Mieszkanie, Poznań, Junikowo, 45 m²Stan: Innyzakończona25 September 2024 o godzinie 11:11:43507 686,00złZobacz aktualne oferty"
2910,"Mieszkanie, Poznań, Junikowo, 43 m²Stan: Innyzakończona25 September 2024 o godzinie 11:11:43508 464,00złZobacz aktualne oferty"
2911,"Mieszkanie, Poznań, Grunwald, 65 m²Stan: Innyzakończona25 September 2024 o godzinie 11:11:25632 731,00złZobacz aktualne oferty"
2912,"Mieszkanie, Poznań, Grunwald, 80 m²Stan: Innyzakończona25 September 2024 o godzinie 10:33:12766 752,00złZobacz aktualne oferty"
2913,"Mieszkanie, Poznań, 86 m²Stan: Innyzakończona25 September 2024 o godzinie 09:44:591 349 000,00złZobacz aktualne oferty"
2914,"Mieszkanie, Poznań, 14 m²Stan: Innyzakończona25 September 2024 o godzinie 09:30:391300,00złZobacz aktualne oferty"
2915,"Mieszkanie, Poznań, Piątkowo, 63 m²Stan: Innyzakończona25 September 2024 o godzinie 07:52:04542 000,00złZobacz aktualne oferty"
2916,"Dom, Poznań, Morasko-Radojewo, 91 m²Stan: Innyzakończona25 September 2024 o godzinie 00:40:26799 000,00złZobacz aktualne oferty"
2917,"Mieszkanie, Poznań, Winogrady, 27 m²Stan: Innyzakończona25 September 2024 o godzinie 00:06:01321 000,00złZobacz aktualne oferty"
2918,"Dom, Poznań, 394 m²Stan: Innyzakończona24 September 2024 o godzinie 20:01:242 800 000,00złZobacz aktualne oferty"
2919,"Mieszkanie, Poznań, Grunwald, 48 m²Stan: Innyzakończona24 September 2024 o godzinie 19:36:33470 000,00złZobacz aktualne oferty"
2920,"Działka, Poznań, 2470 m²Stan: Innyzakończona24 September 2024 o godzinie 18:05:3915 000,00złZobacz aktualne oferty"
2921,"POZNAŃ - Jeżyce. Mieszkanie na sprzedaż 40m2Stan: Innyzakończona24 September 2024 o godzinie 15:12:37698 000,00złZobacz aktualne oferty"
2922,"Pokój, Poznań, Grunwald, 24 m²Stan: Innyzakończona24 September 2024 o godzinie 14:53:48780,00złZobacz aktualne oferty"
2923,"Mieszkanie, Poznań, Nowe Miasto, 44 m²Stan: Innyzakończona24 September 2024 o godzinie 14:53:44519 000,00złZobacz aktualne oferty"
2924,"Mieszkanie, Poznań, Łazarz, 30 m²Stan: Innyzakończona24 September 2024 o godzinie 14:53:44369 000,00złZobacz aktualne oferty"
2925,"Mieszkanie, Poznań, Winiary, 47 m²Stan: Innyzakończona24 September 2024 o godzinie 14:53:442100,00złZobacz aktualne oferty"
2926,"Mieszkanie, Poznań, Górczyn, 46 m²Stan: Innyzakończona24 September 2024 o godzinie 14:25:46430 000,00złZobacz aktualne oferty"
2927,"Mieszkanie, Poznań, 56 m²Stan: Innyzakończona24 September 2024 o godzinie 14:04:033300,00złZobacz aktualne oferty"
2928,"Mieszkanie, Poznań, Winogrady, 47 m²Stan: Innyzakończona24 September 2024 o godzinie 13:14:11560 000,00złZobacz aktualne oferty"
2929,"Mieszkanie, Poznań, Strzeszyn, 56 m²Stan: Innyzakończona24 September 2024 o godzinie 12:29:41180 000,00złZobacz aktualne oferty"
2930,"Dom, Poznań, Podolany, 91 m²Stan: Innyzakończona24 September 2024 o godzinie 11:56:15799 000,00złZobacz aktualne oferty"
2931,"Mieszkanie, Poznań, 91 m²Stan: Innyzakończona24 September 2024 o godzinie 11:56:13789 000,00złZobacz aktualne oferty"
2932,"Mieszkanie, Poznań, Podolany, 91 m²Stan: Innyzakończona24 September 2024 o godzinie 11:56:10789 000,00złZobacz aktualne oferty"
2933,"Mieszkanie, Poznań, Naramowice, 91 m²Stan: Innyzakończona24 September 2024 o godzinie 11:55:53789 000,00złZobacz aktualne oferty"
2934,"Mieszkanie, Poznań, Strzeszyn, 91 m²Stan: Innyzakończona24 September 2024 o godzinie 11:55:53789 000,00złZobacz aktualne oferty"
2935,"Mieszkanie, Poznań, Winogrady, 86 m²Stan: Innyzakończona24 September 2024 o godzinie 11:55:51775 000,00złZobacz aktualne oferty"
2936,"Mieszkanie, Poznań, Strzeszyn, 86 m²Stan: Innyzakończona24 September 2024 o godzinie 11:55:51779 000,00złZobacz aktualne oferty"
