,Details
179,"Mieszkanie, Poznań, Grunwald, 55 m²Stan: Innyzakończona20 December 2024 o godzinie 16:56:52864 999,00złZobacz aktualne oferty"
180,"Mieszkanie, Poznań, Stare Miasto, 39 m²Stan: Innyzakończona20 December 2024 o godzinie 16:56:51579 999,00złZobacz aktualne oferty"
181,"Mieszkanie, Poznań, Nowe Miasto, 51 m²Stan: Innyzakończona20 December 2024 o godzinie 16:56:48517 370,00złZobacz aktualne oferty"
182,"Mieszkanie, Poznań, Rataje, 65 m²Stan: Innyzakończona20 December 2024 o godzinie 16:56:47638 900,00złZobacz aktualne oferty"
183,"Mieszkanie, Poznań, Winogrady, 28 m²Stan: Innyzakończona20 December 2024 o godzinie 16:56:43397 000,00złZobacz aktualne oferty"
184,"Mieszkanie, Poznań, Rataje, 65 m²Stan: Innyzakończona20 December 2024 o godzinie 16:56:40679 999,00złZobacz aktualne oferty"
185,"Mieszkanie, Poznań, Jeżyce, 39 m²Stan: Innyzakończona20 December 2024 o godzinie 16:56:34484 000,00złZobacz aktualne oferty"
186,"Mieszkanie, Poznań, Jeżyce, 52 m²Stan: Innyzakończona20 December 2024 o godzinie 16:56:32533 500,00złZobacz aktualne oferty"
187,"Mieszkanie, Poznań, Jeżyce, 30 m²Stan: Innyzakończona20 December 2024 o godzinie 16:56:31387 000,00złZobacz aktualne oferty"
188,"Mieszkanie, Poznań, Rataje, 80 m²Stan: Innyzakończona20 December 2024 o godzinie 16:56:27881 600,00złZobacz aktualne oferty"
189,"Mieszkanie, Poznań, Podolany, 56 m²Stan: Innyzakończona20 December 2024 o godzinie 16:56:21622 950,00złZobacz aktualne oferty"
